open,close,high,low,vol,amount,year,month,day,hour,minute,datetime,volume
148.98,138.88,148.98,138.51,116776.0,1669119872.0,2023,9,7,15,0,2023-09-07 15:00,116776.0
137.39,140.48,142.38,137.39,79199.0,1114374528.0,2023,9,8,15,0,2023-09-08 15:00,79199.0
140.25,141.09,144.99,137.81,82869.0,1169730176.0,2023,9,11,15,0,2023-09-11 15:00,82869.0
140.8,142.2,144.55,139.58,65506.0,931325440.0,2023,9,12,15,0,2023-09-12 15:00,65506.0
141.8,136.38,141.8,134.1,72490.0,991747904.0,2023,9,13,15,0,2023-09-13 15:00,72490.0
135.79,133.58,136.9,133.33,43091.0,580164544.0,2023,9,14,15,0,2023-09-14 15:00,43091.0
134.3,133.97,134.4,130.0,70883.0,936754496.0,2023,9,15,15,0,2023-09-15 15:00,70883.0
131.48,129.2,133.75,128.32,63448.0,828088000.0,2023,9,18,15,0,2023-09-18 15:00,63448.0
129.0,126.79,129.78,126.3,52930.0,674976704.0,2023,9,19,15,0,2023-09-19 15:00,52930.0
126.78,123.3,128.36,123.0,63860.0,798629952.0,2023,9,20,15,0,2023-09-20 15:00,63860.0
122.27,123.8,127.5,122.0,64719.0,810500480.0,2023,9,21,15,0,2023-09-21 15:00,64719.0
124.67,130.49,132.5,123.01,99387.0,1283800320.0,2023,9,22,15,0,2023-09-22 15:00,99387.0
129.69,126.13,131.69,125.73,66401.0,851611520.0,2023,9,25,15,0,2023-09-25 15:00,66401.0
127.84,130.42,134.45,126.21,94125.0,1235699456.0,2023,9,26,15,0,2023-09-26 15:00,94125.0
128.13,126.8,130.58,126.34,74434.0,952625536.0,2023,9,27,15,0,2023-09-27 15:00,74434.0
127.05,123.95,130.41,123.19,70010.0,880353728.0,2023,9,28,15,0,2023-09-28 15:00,70010.0
123.26,126.03,132.27,121.95,79263.0,1007613056.0,2023,10,9,15,0,2023-10-09 15:00,79263.0
126.0,123.62,127.8,122.92,53651.0,670751104.0,2023,10,10,15,0,2023-10-10 15:00,53651.0
123.99,127.0,131.5,123.28,92370.0,1178113280.0,2023,10,11,15,0,2023-10-11 15:00,92370.0
126.74,123.9,129.5,122.59,61692.0,769872512.0,2023,10,12,15,0,2023-10-12 15:00,61692.0
122.04,121.04,124.43,119.0,82642.0,1001244608.0,2023,10,13,15,0,2023-10-13 15:00,82642.0
120.0,117.05,120.77,115.9,78689.0,927443712.0,2023,10,16,15,0,2023-10-16 15:00,78689.0
118.0,115.47,118.68,114.75,59246.0,686742144.0,2023,10,17,15,0,2023-10-17 15:00,59246.0
125.98,120.2,131.0,119.23,171374.0,2137531520.0,2023,10,18,15,0,2023-10-18 15:00,171374.0
119.0,144.24,144.24,119.0,209581.0,2888313344.0,2023,10,19,15,0,2023-10-19 15:00,209581.0
144.0,135.55,147.0,131.58,243677.0,3343333632.0,2023,10,20,15,0,2023-10-20 15:00,243677.0
134.07,108.44,136.52,108.44,243066.0,2877265152.0,2023,10,23,15,0,2023-10-23 15:00,243066.0
107.1,108.66,113.0,104.44,169787.0,1844404096.0,2023,10,24,15,0,2023-10-24 15:00,169787.0
111.02,112.68,121.0,111.02,170675.0,1977777280.0,2023,10,25,15,0,2023-10-25 15:00,170675.0
112.12,111.26,118.0,108.33,127282.0,1428067584.0,2023,10,26,15,0,2023-10-26 15:00,127282.0
